"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","8","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"4","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","16","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","24","42","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","39","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","47","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","54","35","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","34","12","MethodNamingConventions","The test method name 'testGetAccountsByType_BlankInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"10","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","75","12","MethodNamingConventions","The test method name 'testUpdateAccountDescriptions_InvalidInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"11","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","114","12","MethodNamingConventions","The test method name 'testGetContactCountByAccount_EmptyInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"12","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","1","21","StdCyclomaticComplexity","The class 'CoverageDemoService' has a Standard Cyclomatic Complexity of 8 (Highest = 10).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"14","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","2","19","CyclomaticComplexity","The method 'calcDiscount(Integer, String)' has a cyclomatic complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"16","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","30","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","30","19","CyclomaticComplexity","The method 'classifyAccount(Account)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"18","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","31","24","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"19","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","31","24","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"20","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","32","38","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"21","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","32","38","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"22","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","34","42","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"23","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","34","42","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"24","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","35","41","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"25","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","35","41","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"26","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","36","40","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"27","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","36","40","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"28","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","39","71","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"29","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","39","71","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"30","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","40","70","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"31","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","40","70","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"32","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","44","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"33","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","44","19","StdCyclomaticComplexity","The method 'computeRiskScore' has a Standard Cyclomatic Complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"34","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","44","19","CyclomaticComplexity","The method 'computeRiskScore(String)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"35","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","46","28","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"36","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","46","28","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"37","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","51","34","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"38","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","51","34","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"39","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","53","34","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"40","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","53","34","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"41","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","54","34","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"42","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","54","34","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"43","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","55","64","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"44","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","55","64","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"45","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","58","31","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"46","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","58","31","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"47","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","59","31","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"48","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","59","31","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"49","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","61","52","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"50","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","61","52","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"51","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","73","24","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"52","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","73","24","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"53","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","74","23","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"54","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","74","23","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"55","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","75","23","IfStmtsMustUseBraces","Avoid using if statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifstmtsmustusebraces","Code Style","pmd"
"56","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","75","23","IfElseStmtsMustUseBraces","Avoid using if...else statements without curly braces","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#ifelsestmtsmustusebraces","Code Style","pmd"
"57","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","5","12","MethodNamingConventions","The test method name 'testCalcDiscount_allBranches' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"58","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","6","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"59","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","7","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"60","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","9","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"61","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","10","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"62","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","11","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"63","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","13","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"64","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","14","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"65","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","16","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"66","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","17","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"67","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","20","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"68","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","26","13","ApexAssertionsShouldIncludeMessage","'System.assert' should have 2 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"69","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","33","13","ApexAssertionsShouldIncludeMessage","'System.assert' should have 2 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"70","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","39","12","MethodNamingConventions","The test method name 'testClassifyAccount_allBranches' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"71","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","40","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"72","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoServiceTest.cls","43","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
